train_number,train_name,station_name,departure,source,destination
59483,AHMEDABAD PATAN PASS,MAHESANA JN,05:40:00,NA,NA
9021,BANDRA TERMINUS - JAMMU TAWI AC Suvidha Special (Starts 4 April),MUMBAI BANDRA TERMINUS,16:55:00,NA,NA
54421,Rewari Delhi Sarai Rohilla Passenger,DELHI SARAI ROHILLA,12:15:00,NA,NA
55753,ALIPUR DUAR - GUWAHATI SIFUNG Pass,ALIPUR DUAR JN,02:45:00,NA,NA
12736,YESVANTPUR - SECUNDERABAD Garib Rath Exp,YESVANTPUR JN,20:50:00,NA,NA
11059,MUMBAI LTT - CHHAPRA Godan Exp,LOKMANYA TILAK TERM,10:55:00,NA,NA
55014,Manduadih Chhapra Passenger,MANDUADIH,04:10:00,NA,NA
58116,ROU CKP SARANDA PASSENGER,ROURKELA,16:00:00,NA,NA
47183,Lingampalli Falaknuma MMTS,LINGAMPALLI,14:30:00,NA,NA
15942,DIBRUGARH - JHAJHA Exp,DIBRUGARH,06:35:00,NA,NA
12283,ERNAKULAM - DELHI H NIZAMUDDIN Duronto Exp,ERNAKULAM JN,23:30:00,NA,NA
12253,YESVANTPUR - BHAGALPUR Anga SF Exp,YESVANTPUR JN,13:30:00,NA,NA
15635,OKHA - GUWAHATI EXP,OKHA,11:25:00,NA,NA
12152,HOWRAH - MUMBAI LTT Samarsata SF Exp,HOWRAH JN,21:15:00,NA,NA
53173,Sealdah Lalgola Passenger,KOLKATA SEALDAH,07:57:00,NA,NA
11033,PUNE - DARBHANGA Gyan Ganga Exp,PUNE JN,16:15:00,NA,NA
12833,AHMEDABAD - HOWRAH SF EXP,AHMEDABAD JN,23:55:00,NA,NA
10103,MUMBAI CST - MADGAON Mandovi Exp,MUMBAI CST,06:55:00,NA,NA
54086,Rewari Delhi Pass,REWARI,10:25:00,NA,NA
51914,SAHARANPUR - DELHI Passenger,SAHARANPUR,03:15:00,NA,NA
55026,Gonda Gorakhpur Passenger,GONDA JN,04:30:00,NA,NA
59474,PATAN - AHMEDABAD PASSENGER,PATAN,20:00:00,NA,NA
53326,Dhanbad Sindri Town Passenger,DHANBAD JN,10:00:00,NA,NA
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,C SHAHU M RAJ KOLHAPUR TERM,23:45:00,NA,NA
63243,Patna Gaya Passenger MEMU,PATNA JN,07:00:00,NA,NA
12051,DADAR - MADGAON Jan Shatabdi Exp,MUMBAI DADAR CENTRAL,05:25:00,NA,NA
47163,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,17:00:00,NA,NA
12632,TIRUNELVELI - CHENNAI EGMORE Nellai SF Exp,TIRUNELVELI,18:50:00,NA,NA
18415,Banspani-Puri InterCity,Banspani,14:18:00,NA,NA
11403,NAGPUR - KOLHAPUR EXP,NAGPUR,15:00:00,NA,NA
13019,Bagh Express,HOWRAH JN,21:45:00,Howrah Junction,Kathgodam
11702,INDORE - JABALPUR Intercity Exp,INDORE JN BG,04:15:00,NA,NA
56273,Arsikere Hubli Passenger,ARSIKERE JN,05:15:00,NA,NA
12363,KOLKATA CHITPUR - HALDIBARI SF Intercity Exp,KOLKATA CHITPUR,09:05:00,NA,NA
18105,Rourkela-Bhubaneswar InterCity,ROURKELA,05:30:00,NA,NA
11449,JABALPUR - SHRI MATA VAISHNO DEVI KATRA Express,JABALPUR,06:00:00,NA,NA
13483,Farakka Express,MALDA TOWN,19:10:00,Malda Town,Delhi
12102,HOWRAH - MUMBAI LTT Janeswari Super Deluxe Exp,HOWRAH JN,22:55:00,NA,NA
6840,Karaikkudi-Tiruchirappalli Passenger Special,Karaikkudi Junction,09:40:00,NA,NA
12167,MUMBAI LTT - VARANASI SF Exp,LOKMANYA TILAK TERM,00:43:00,NA,NA
